codec,channel,r,n_trials,n_success,success_rate,median_density_eb_per_g,median_decode_time_s,median_preproc_time_s,median_n_surviving,median_inner_pass_rate,input_size_bytes,n_parts,git_shas,docker_image_ids,hmm_rs_versions,channel_coverage_sigma
dna_aeon,hifi,0.02,30,0,0.0,4126.49,4.27,0.06,32,,15360,1,7877205cd5060813d260925ccba29308b2aa6c89,cb7040e0bb05,0.1.0,0.3
dna_aeon,hifi,0.05,30,0,0.0,1650.59,4.611,0.165,74,,15360,1,7877205cd5060813d260925ccba29308b2aa6c89,4a0636aede86,0.1.0,0.3
dna_aeon,hifi,0.1,30,0,0.0,825.3,4.649,0.278,144,,15360,1,7877205cd5060813d260925ccba29308b2aa6c89,674417bc757b,0.1.0,0.3
dna_aeon,hifi,0.2,30,0,0.0,412.65,8.854,0.539,274,,15360,1,7877205cd5060813d260925ccba29308b2aa6c89,f0258a99b0cb,0.1.0,0.3
dna_aeon,hifi,0.3,30,0,0.0,275.1,10.878,0.837,395,,15360,1,7877205cd5060813d260925ccba29308b2aa6c89,1ddafbd64abe,0.1.0,0.3
dna_aeon,hifi,0.5,30,0,0.0,165.06,14.758,0.854,598,,15360,1,7877205cd5060813d260925ccba29308b2aa6c89,b9a5ce4f41d3,0.1.0,0.3
dna_aeon,hifi,1.0,30,0,0.0,82.53,17.281,2.014,955,,15360,1,7877205cd5060813d260925ccba29308b2aa6c89,4eb4c77082a3,0.1.0,0.3
dna_aeon,hifi,2.0,30,30,1.0,41.26,24.602,1.897,1288,,15360,1,7877205cd5060813d260925ccba29308b2aa6c89,f54978c498d1,0.1.0,0.3
dna_aeon,hifi,5.0,30,30,1.0,16.51,27.32,2.199,1515,,15360,1,7877205cd5060813d260925ccba29308b2aa6c89,68a1ee7d2352,0.1.0,0.3
dna_aeon,hifi,10.0,30,30,1.0,8.25,27.932,2.201,1538,,15360,1,7877205cd5060813d260925ccba29308b2aa6c89,8b0e0cf5e66e,0.1.0,0.3
dna_aeon,lofi,0.02,30,0,0.0,4126.49,9.901,0.062,32,,15360,3,7877205cd5060813d260925ccba29308b2aa6c89,7b9633aa3e38|c79171580055|f9fa270803e7,0.1.0,0.3
dna_aeon,lofi,0.05,30,0,0.0,1650.59,14.479,0.13,74,,15360,3,7877205cd5060813d260925ccba29308b2aa6c89,266e588bb0bb|2e50a9829525|4755e2307559,0.1.0,0.3
dna_aeon,lofi,0.1,30,0,0.0,825.3,20.588,0.257,144,,15360,3,7877205cd5060813d260925ccba29308b2aa6c89,560c51ab6533|c78e7a852afe|f9f1bb727917,0.1.0,0.3
dna_aeon,lofi,0.2,30,0,0.0,412.65,32.422,0.443,274,,15360,3,7877205cd5060813d260925ccba29308b2aa6c89,35532e4373de|4dec49984674|81e3256e40ba,0.1.0,0.3
dna_aeon,lofi,0.3,30,0,0.0,275.1,43.713,0.669,395,,15360,3,7877205cd5060813d260925ccba29308b2aa6c89,480349634fcf|7b309786849a|87c7a8500d2f,0.1.0,0.3
dna_aeon,lofi,0.5,30,0,0.0,165.06,62.358,0.709,598,,15360,3,7877205cd5060813d260925ccba29308b2aa6c89,afa0cb22cbb0|ba8bc977b58b|e106c34eaafe,0.1.0,0.3
dna_aeon,lofi,1.0,30,0,0.0,82.53,104.624,2.014,955,,15360,1,7877205cd5060813d260925ccba29308b2aa6c89,9ae4d82c3bed,0.1.0,0.3
dna_aeon,lofi,2.0,30,30,1.0,41.26,136.236,1.618,1288,,15360,3,7877205cd5060813d260925ccba29308b2aa6c89,182c85c19fad|3c88479749bb|6dce7caea8d1,0.1.0,0.3
dna_aeon,lofi,5.0,30,30,1.0,16.51,156.619,2.915,1515,,15360,3,7877205cd5060813d260925ccba29308b2aa6c89,8fe8ba3bdf53|9bed8ed477eb|dfda4bc73f50,0.1.0,0.3
dna_aeon,lofi,10.0,30,30,1.0,8.25,160.015,2.952,1538,,15360,3,7877205cd5060813d260925ccba29308b2aa6c89,39ae87629511|6464ad3ed705|b8088d015970,0.1.0,0.3
dna_fountain,hifi,0.02,30,0,0.0,6374.3,0.281,0.001,14,,15360,1,a8b77102a37a98e633375362fef03c4502f8d0b6,ab16947dc73c,0.1.0,0.3
dna_fountain,hifi,0.05,30,0,0.0,2549.72,0.329,0.001,31,,15360,1,a8b77102a37a98e633375362fef03c4502f8d0b6,f28b433ea6dd,0.1.0,0.3
dna_fountain,hifi,0.1,30,0,0.0,1274.86,0.424,0.001,68,,15360,1,a8b77102a37a98e633375362fef03c4502f8d0b6,365bdc2f9ba8,0.1.0,0.3
dna_fountain,hifi,0.2,30,0,0.0,637.43,0.579,0.002,126,,15360,1,a8b77102a37a98e633375362fef03c4502f8d0b6,8b5cfc35e39c,0.1.0,0.3
dna_fountain,hifi,0.3,30,0,0.0,424.95,0.724,0.002,184,,15360,1,a8b77102a37a98e633375362fef03c4502f8d0b6,107ea8364f8d,0.1.0,0.3
dna_fountain,hifi,0.5,30,0,0.0,254.97,0.967,0.002,281,,15360,1,a8b77102a37a98e633375362fef03c4502f8d0b6,d8d894b776df,0.1.0,0.3
dna_fountain,hifi,1.0,30,0,0.0,127.49,1.395,0.003,447,,15360,1,a8b77102a37a98e633375362fef03c4502f8d0b6,710ae5e27f3b,0.1.0,0.3
dna_fountain,hifi,2.0,30,0,0.0,63.74,1.812,0.003,607,,15360,1,a8b77102a37a98e633375362fef03c4502f8d0b6,4b2438f7666b,0.1.0,0.3
dna_fountain,hifi,5.0,30,30,1.0,25.5,2.035,0.004,710,,15360,1,a8b77102a37a98e633375362fef03c4502f8d0b6,f9dc4b51227c,0.1.0,0.3
dna_fountain,hifi,10.0,30,29,0.9667,12.75,1.957,0.004,721,,15360,1,a8b77102a37a98e633375362fef03c4502f8d0b6,834c1834719a,0.1.0,0.3
dna_fountain,lofi,0.02,30,0,0.0,6374.3,0.285,0.002,14,,15360,1,a8b77102a37a98e633375362fef03c4502f8d0b6,cafd5dba5a79,0.1.0,0.3
dna_fountain,lofi,0.05,30,0,0.0,2549.72,0.331,0.001,31,,15360,1,a8b77102a37a98e633375362fef03c4502f8d0b6,590bbd0f26ec,0.1.0,0.3
dna_fountain,lofi,0.1,30,0,0.0,1274.86,0.496,0.002,68,,15360,1,a8b77102a37a98e633375362fef03c4502f8d0b6,679efe7fce1f,0.1.0,0.3
dna_fountain,lofi,0.2,30,0,0.0,637.43,0.599,0.002,126,,15360,1,a8b77102a37a98e633375362fef03c4502f8d0b6,741e17b4fa63,0.1.0,0.3
dna_fountain,lofi,0.3,30,0,0.0,424.95,0.893,0.002,184,,15360,1,a8b77102a37a98e633375362fef03c4502f8d0b6,2c5d696dff40,0.1.0,0.3
dna_fountain,lofi,0.5,30,0,0.0,254.97,1.004,0.002,281,,15360,1,a8b77102a37a98e633375362fef03c4502f8d0b6,cdc99a0df228,0.1.0,0.3
dna_fountain,lofi,1.0,30,0,0.0,127.49,1.456,0.003,447,,15360,1,a8b77102a37a98e633375362fef03c4502f8d0b6,b0ba9b2cd38b,0.1.0,0.3
dna_fountain,lofi,2.0,30,0,0.0,63.74,1.882,0.003,607,,15360,1,a8b77102a37a98e633375362fef03c4502f8d0b6,3513968ac588,0.1.0,0.3
dna_fountain,lofi,5.0,30,0,0.0,25.5,2.159,0.004,710,,15360,1,a8b77102a37a98e633375362fef03c4502f8d0b6,27068829a330,0.1.0,0.3
dna_fountain,lofi,10.0,30,0,0.0,12.75,2.189,0.004,721,,15360,1,a8b77102a37a98e633375362fef03c4502f8d0b6,df575d266016,0.1.0,0.3
dna_rs,hifi,0.02,30,0,0.0,3623.68,300.004,0.001,90,,15360,3,c3714caf71a78697b66486eb14376e0167786c1f,3f6b668c0558|5b2b69e9eb2c|820240990d1d,0.1.0,0.3
dna_rs,hifi,0.05,30,0,0.0,1449.47,300.004,0.001,223,,15360,3,c3714caf71a78697b66486eb14376e0167786c1f,a17395aaeda7|f1de449537a7|fc86db4adf4b,0.1.0,0.3
dna_rs,hifi,0.1,30,0,0.0,724.74,300.005,0.002,443,,15360,3,c3714caf71a78697b66486eb14376e0167786c1f,6fb13bb0acec|85f2e4048627|9bff9e97502e,0.1.0,0.3
dna_rs,hifi,0.2,30,0,0.0,362.37,300.004,0.004,822,,15360,3,c3714caf71a78697b66486eb14376e0167786c1f,005be11ecdca|66f700ac135a|f5984cf382d1,0.1.0,0.3
dna_rs,hifi,0.3,30,0,0.0,241.58,248.348,0.005,1174,,15360,3,c3714caf71a78697b66486eb14376e0167786c1f,172fec6f6725|42de746b6340|e12c8879813d,0.1.0,0.3
dna_rs,hifi,0.5,30,0,0.0,144.95,170.519,0.008,1779,,15360,3,c3714caf71a78697b66486eb14376e0167786c1f,4e226c1660c5|e426f8cd4734|e671232377fd,0.1.0,0.3
dna_rs,hifi,1.0,30,0,0.0,72.47,70.098,0.012,2836,,15360,1,c3714caf71a78697b66486eb14376e0167786c1f,b55263294999,0.1.0,0.3
dna_rs,hifi,2.0,30,30,1.0,36.24,15.977,0.016,3853,,15360,1,c3714caf71a78697b66486eb14376e0167786c1f,698c2ce167e5,0.1.0,0.3
dna_rs,hifi,5.0,30,30,1.0,14.49,3.618,0.02,4515,,15360,1,c3714caf71a78697b66486eb14376e0167786c1f,7c41d39eb323,0.1.0,0.3
dna_rs,hifi,10.0,30,30,1.0,7.25,3.135,0.02,4587,,15360,1,c3714caf71a78697b66486eb14376e0167786c1f,dc92968c581c,0.1.0,0.3
dna_rs,lofi,0.02,30,0,0.0,3623.68,300.005,0.001,90,,15360,3,c3714caf71a78697b66486eb14376e0167786c1f,20356bae28de|5707e073a8ce|fc543530b0f3,0.1.0,0.3
dna_rs,lofi,0.05,30,0,0.0,1449.47,300.006,0.001,223,,15360,3,c3714caf71a78697b66486eb14376e0167786c1f,570333ca09f1|e12257729485|fc7d1fea52b8,0.1.0,0.3
dna_rs,lofi,0.1,30,0,0.0,724.74,300.005,0.002,443,,15360,3,c3714caf71a78697b66486eb14376e0167786c1f,461af8fdbd94|85b298cb2891|b5c8792938b4,0.1.0,0.3
dna_rs,lofi,0.2,30,0,0.0,362.37,300.004,0.004,822,,15360,3,c3714caf71a78697b66486eb14376e0167786c1f,c7646adfa2e7|cf3e8a85b7a2|dc22e10e4446,0.1.0,0.3
dna_rs,lofi,0.3,30,0,0.0,241.58,300.005,0.006,1174,,15360,3,5cde6d85368e67ed8f29a207d901bf11323e4bcb|c3714caf71a78697b66486eb14376e0167786c1f,0904ffe4f94a|5341bec9792a|df724e5289f8,0.1.0,0.3
dna_rs,lofi,0.5,30,0,0.0,144.95,219.272,0.008,1779,,15360,3,c3714caf71a78697b66486eb14376e0167786c1f,d495a9b90b4f|d6ccfdaef349|dd66d73f1e64,0.1.0,0.3
dna_rs,lofi,1.0,30,0,0.0,72.47,122.676,0.012,2836,,15360,3,c3714caf71a78697b66486eb14376e0167786c1f,16e7123d9184|6bf91e094366|7fccb2fda110,0.1.0,0.3
dna_rs,lofi,2.0,30,0,0.0,36.24,57.573,0.017,3853,,15360,1,c3714caf71a78697b66486eb14376e0167786c1f,99e619ad5a9b,0.1.0,0.3
dna_rs,lofi,5.0,30,29,0.9667,14.49,28.448,0.019,4515,,15360,1,c3714caf71a78697b66486eb14376e0167786c1f,61745dccb2cb,0.1.0,0.3
dna_rs,lofi,10.0,30,30,1.0,7.25,26.506,0.019,4587,,15360,1,c3714caf71a78697b66486eb14376e0167786c1f,22b4b3af1b82,0.1.0,0.3
mahoraga,hifi,0.02,30,30,1.0,153.25,91.416,0.0,707,0.996,15360,3,62c3670e94394219a527fc7f073d785f14379b58,41e487b71d11|d6ee48f77df0|e84b27fe434f,0.1.0,0.3
mahoraga,hifi,0.05,30,30,1.0,150.98,22.752,0.0,705,0.996,15360,1,a221b99891d6c6d5b16dde8c1ad68c37500ea0fb,b796dca6e816,0.1.0,0.3
mahoraga,hifi,0.1,30,30,1.0,147.3,9.6,0.0,708,0.996,15360,1,a221b99891d6c6d5b16dde8c1ad68c37500ea0fb,0150f799c09e,0.1.0,0.3
mahoraga,hifi,0.2,30,30,1.0,140.29,4.918,0.0,700,0.995,15360,1,a221b99891d6c6d5b16dde8c1ad68c37500ea0fb,71552a43bb34,0.1.0,0.3
mahoraga,hifi,0.3,30,30,1.0,133.72,4.998,0.0,701,0.996,15360,1,a221b99891d6c6d5b16dde8c1ad68c37500ea0fb,457ec5fa54ad,0.1.0,0.3
mahoraga,hifi,0.5,30,30,1.0,121.78,4.539,0.0,703,0.996,15360,1,a221b99891d6c6d5b16dde8c1ad68c37500ea0fb,89ff8a5c6964,0.1.0,0.3
mahoraga,hifi,1.0,30,30,1.0,97.78,4.232,0.0,701,0.997,15360,1,a221b99891d6c6d5b16dde8c1ad68c37500ea0fb,52b746bac2a9,0.1.0,0.3
mahoraga,hifi,2.0,30,30,1.0,66.88,4.062,0.0,699,0.996,15360,1,a221b99891d6c6d5b16dde8c1ad68c37500ea0fb,91750f9546b9,0.1.0,0.3
mahoraga,hifi,5.0,30,30,1.0,30.72,3.442,0.0,711,0.994,15360,1,a221b99891d6c6d5b16dde8c1ad68c37500ea0fb,2c831d97df87,0.1.0,0.3
mahoraga,hifi,10.0,30,30,1.0,15.47,4.136,0.0,717,0.996,15360,1,a221b99891d6c6d5b16dde8c1ad68c37500ea0fb,3902c0010303,0.1.0,0.3
mahoraga,lofi,0.02,30,30,1.0,116.1,305.342,0.0,944,0.7745,15360,3,62c3670e94394219a527fc7f073d785f14379b58,4d4623b570d5|68a367e943c5|ffcad9ae11f2,0.1.0,0.3
mahoraga,lofi,0.05,30,30,1.0,114.38,69.538,0.0,932,0.7795,15360,1,14484c75c834b25efaa52bd7189b807196723651,63a852d1a470,0.1.0,0.3
mahoraga,lofi,0.1,30,30,1.0,111.59,24.855,0.0,936,0.776,15360,1,a221b99891d6c6d5b16dde8c1ad68c37500ea0fb,e7e946926cdd,0.1.0,0.3
mahoraga,lofi,0.2,30,30,1.0,106.27,12.572,0.0,941,0.78,15360,1,a221b99891d6c6d5b16dde8c1ad68c37500ea0fb,7ab356f5a78b,0.1.0,0.3
mahoraga,lofi,0.3,30,30,1.0,101.29,9.864,0.0,936,0.7785,15360,1,a221b99891d6c6d5b16dde8c1ad68c37500ea0fb,c651d179cdcb,0.1.0,0.3
mahoraga,lofi,0.5,30,30,1.0,92.25,8.278,0.0,938,0.777,15360,1,a221b99891d6c6d5b16dde8c1ad68c37500ea0fb,bd42b00ee8b9,0.1.0,0.3
mahoraga,lofi,1.0,30,30,1.0,74.12,7.331,0.0,924,0.786,15360,1,a221b99891d6c6d5b16dde8c1ad68c37500ea0fb,cb711afa6f7c,0.1.0,0.3
mahoraga,lofi,2.0,30,30,1.0,50.68,6.921,0.0,918,0.785,15360,1,a221b99891d6c6d5b16dde8c1ad68c37500ea0fb,c048b6a228a6,0.1.0,0.3
mahoraga,lofi,5.0,30,30,1.0,23.27,6.969,0.0,939,0.7755,15360,1,a221b99891d6c6d5b16dde8c1ad68c37500ea0fb,9e6d578f8149,0.1.0,0.3
mahoraga,lofi,10.0,30,30,1.0,11.72,6.992,0.0,945,0.7825,15360,1,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,4dabcd21ed3d,0.1.0,0.3
mgcplus,hifi,0.02,30,0,0.0,2641.15,0.688,0.387,42,,15360,10,7877205cd5060813d260925ccba29308b2aa6c89,03309c68633d|11cfdd19c76a|493758231241|54b6afb96dd7|62d7c731f725|826174cce61a|8c7941e220c3|c3c19b8ce803|c7057486573f|d11ede49f441,0.1.0,0.3
mgcplus,hifi,0.05,30,0,0.0,1056.46,0.796,0.551,103,,15360,10,7877205cd5060813d260925ccba29308b2aa6c89,052a38a9015a|17556aa50e4d|2acc907a6674|39ebfff73d25|4e84ed580bf6|71108e2d02d3|72707d81d9a8|b958832dc37b|ce2bcab61c8e|f1c0f511ca56,0.1.0,0.3
mgcplus,hifi,0.1,30,0,0.0,528.23,0.925,0.751,210,,15360,10,7877205cd5060813d260925ccba29308b2aa6c89,087bc2f953f6|092c56567884|1efb5943413d|35d52ec9a141|363e7508ce78|8411b551a96c|89d2357ff144|a0b458e4095d|aeb02367f6b7|c737f9deb0b6,0.1.0,0.3
mgcplus,hifi,0.2,30,0,0.0,264.11,1.266,1.16,383,,15360,10,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,100c4ecac612|276df682ac9f|281c2e8e2396|3826f4e48511|56afbfdcaba4|8b2d85866efa|ca4813b76302|d7ab20f1d56b|edecaa6ebb7d|f805df88af05,0.1.0,0.3
mgcplus,hifi,0.3,30,0,0.0,176.08,1.631,1.581,555,,15360,10,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,0cbab7b4859d|3f5e0bb702cb|4811921fb264|4cd42cda26d6|6d865d4e652f|7861cea0f642|c111cd197bfc|cb88c517dbae|e5436dc0e63d|f53e857c4198,0.1.0,0.3
mgcplus,hifi,0.5,30,0,0.0,105.65,2.197,2.205,839,,15360,10,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,0020f1701807|223abbadd526|2b4ea9461d92|67b460625661|768f96d8ce7d|874a04e96e57|8e1513e88143|c34694089d22|e3cc6f7dd8cf|e96ea0e8f343,0.1.0,0.3
mgcplus,hifi,1.0,30,30,1.0,52.82,5.161,3.451,1332,,15360,1,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,7a08698db14e,0.1.0,0.3
mgcplus,hifi,2.0,30,30,1.0,26.41,5.011,4.329,1815,,15360,1,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,11013914705b,0.1.0,0.3
mgcplus,hifi,5.0,30,30,1.0,10.56,5.728,5.569,2133,,15360,1,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,1f193451915c,0.1.0,0.3
mgcplus,hifi,10.0,30,30,1.0,5.28,5.818,5.725,2167,,15360,1,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,76afb1f36c82,0.1.0,0.3
mgcplus,lofi,0.02,30,0,0.0,2641.15,0.669,0.367,42,,15360,10,7877205cd5060813d260925ccba29308b2aa6c89,030a1ba5bde8|09b7978d5e01|1bcba0da12de|3ea56245c995|66264924366d|8e5790213827|91d12adf3ce3|9285733f8fd3|afc9b7c1936d|d56f0d7af4d8,0.1.0,0.3
mgcplus,lofi,0.05,30,0,0.0,1056.46,0.76,0.517,103,,15360,10,7877205cd5060813d260925ccba29308b2aa6c89,3896b536d917|6239b8a7f6de|6424350d5908|64dec047e4ce|6aa405603b7e|c4c879661b7e|dc9bf2372efc|e5c95cbabf68|e7c55ca5e818|fb4de3f94f10,0.1.0,0.3
mgcplus,lofi,0.1,30,0,0.0,528.23,0.933,0.715,210,,15360,10,7877205cd5060813d260925ccba29308b2aa6c89,4011534c5553|44b8e45e39e2|4bc135fcfdc6|4c3c2d97e302|5e8af4c8b580|61257feb2c33|63bc86b11f38|92dba4df675a|b6c8d04b3078|dca7e33e3130,0.1.0,0.3
mgcplus,lofi,0.2,30,0,0.0,264.11,1.38,1.159,383,,15360,10,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,1726bf63ebf9|1e94f50b7d8f|2d9b258e2d16|4d70cd55bf69|4f96548ccf14|579c6bb91d66|99bd150a548d|b84bb34eedfd|dacee871186e|fe256f2a5c6f,0.1.0,0.3
mgcplus,lofi,0.3,30,0,0.0,176.08,1.639,1.466,555,,15360,10,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,46ebb5ec7dc3|52af4be9ddb7|61d171b13615|81ecc75754b8|83a2c181cba2|c138f0c35dd7|d1044c81713b|d386f345a01f|d3a30c2229db|e45ff06da096,0.1.0,0.3
mgcplus,lofi,0.5,30,0,0.0,105.65,2.125,1.994,839,,15360,10,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,1f1fec2c197a|1fd52eb9ba4e|351537f316e4|3a7a5c4a4153|d4988bcff2fe|eab69355282a|eea7626ce40a|f4e56c8770d4|fae77f781ffc|fc9a877cded8,0.1.0,0.3
mgcplus,lofi,1.0,30,30,1.0,52.82,4.718,2.985,1332,,15360,1,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,1ec713e48fea,0.1.0,0.3
mgcplus,lofi,2.0,30,30,1.0,26.41,5.514,4.457,1815,,15360,1,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,b7f3eb56f775,0.1.0,0.3
mgcplus,lofi,5.0,30,30,1.0,10.56,5.982,5.354,2133,,15360,1,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,16a20228d6f5,0.1.0,0.3
mgcplus,lofi,10.0,30,30,1.0,5.28,5.048,4.56,2167,,15360,1,ed13a15129f5a7fdb37adb3326ac36f3a818d81e,5d6bf0c0b3ad,0.1.0,0.3
